Timestamp,Index
11/11/1998,1126.825012
11/12/1998,1121.059998
11/13/1998,1121.549988
11/16/1998,1132.219971
11/17/1998,1140.690003
11/18/1998,1138.794983
11/19/1998,1149.76001
11/20/1998,1158.080017
11/23/1998,1175.880005
11/24/1998,1186.555054
11/25/1998,1183.265015
11/27/1998,1189.899964
11/30/1998,1178.174988
12/1/1998,1163.100037
12/2/1998,1166.52002
12/3/1998,1163.299988
12/4/1998,1163.440003
12/7/1998,1182.834961
12/8/1998,1183.155029
12/9/1998,1180.554993
12/10/1998,1173.76001
12/11/1998,1160.539978
12/14/1998,1151.674988
12/15/1998,1152.014954
12/16/1998,1160.48999
12/17/1998,1170.984985
12/18/1998,1183.580018
12/21/1998,1199.455017
12/22/1998,1200.969971
12/23/1998,1216.729981
12/24/1998,1227.284974
12/28/1998,1226.345032
12/29/1998,1231.320007
12/30/1998,1238.065003
12/31/1998,1231.070008
1/4/1999,1233.955018
1/5/1999,1237.104981
1/6/1999,1258.640015
1/7/1999,1265.01001
1/8/1999,1270.029968
1/11/1999,1264.779969
1/12/1999,1251.369995
1/13/1999,1226.604981
1/14/1999,1223.175049
1/15/1999,1227.724976
1/19/1999,1244.090027
1/20/1999,1262.804993
1/21/1999,1244.564941
1/22/1999,1227.190003
1/25/1999,1226.719971
1/26/1999,1243.61499
1/27/1999,1252.714966
1/28/1999,1254.785034
1/29/1999,1267.775025
2/1/1999,1277.53003
2/2/1999,1260.525025
2/3/1999,1265.65503
2/4/1999,1260.294983
2/5/1999,1242.070007
2/8/1999,1239.455017
2/9/1999,1229.799988
2/10/1999,1219.335022
2/11/1999,1238.619995
2/12/1999,1239.785034
2/16/1999,1241.150025
2/17/1999,1235.115052
2/18/1999,1229.914978
2/19/1999,1239.970032
2/22/1999,1255.719971
2/23/1999,1271.869995
2/24/1999,1267.889954
2/25/1999,1239.210022
2/26/1999,1236.484985
3/1/1999,1230.289978
3/2/1999,1235.090027
3/3/1999,1223.830017
3/4/1999,1237.719971
3/5/1999,1261.184998
3/8/1999,1277.159973
3/9/1999,1284.424988
3/10/1999,1281.090027
3/11/1999,1296.63501
3/12/1999,1296.795044
3/15/1999,1299.25
3/16/1999,1306.700012
3/17/1999,1299.590027
3/18/1999,1306.184998
3/19/1999,1311.369995
3/22/1999,1299.049988
3/23/1999,1277.234986
3/24/1999,1262.725037
3/25/1999,1279.289978
3/26/1999,1283.619995
3/29/1999,1297.28003
3/30/1999,1302.820008
3/31/1999,1299.734986
4/1/1999,1288.550049
4/5/1999,1307.419983
4/6/1999,1318.914978
4/7/1999,1321.084961
4/8/1999,1332.839966
4/9/1999,1343.229981
4/12/1999,1346.084961
4/13/1999,1353.205017
4/14/1999,1341.825012
4/15/1999,1320.39502
4/16/1999,1318.215027
4/19/1999,1312.289978
4/20/1999,1295.255005
4/21/1999,1318.979981
4/22/1999,1347.479981
4/23/1999,1356.049988
4/26/1999,1358.640015
4/27/1999,1364.055054
4/28/1999,1358.455017
4/29/1999,1346.78003
4/30/1999,1333.204956
5/3/1999,1341.820008
5/4/1999,1342.640015
5/5/1999,1332.379944
5/6/1999,1335.460022
5/7/1999,1339.02002
5/10/1999,1343.005005
5/11/1999,1350.150025
5/12/1999,1350.229981
5/13/1999,1369.98999
5/14/1999,1350.095032
5/17/1999,1330.569946
5/18/1999,1334.449951
5/19/1999,1335.640015
5/20/1999,1344.659973
5/21/1999,1333.534973
5/24/1999,1318.275025
5/25/1999,1300.950013
5/26/1999,1291.640015
5/27/1999,1291.035035
5/28/1999,1292.705017
6/1/1999,1291.639954
6/2/1999,1287.284974
6/3/1999,1299.174988
6/4/1999,1313.64502
6/7/1999,1331.15503
6/8/1999,1323.674988
6/9/1999,1320.369995
6/10/1999,1305.960022
6/11/1999,1299.924988
6/14/1999,1297.094971
6/15/1999,1302.380005
6/16/1999,1316.994995
6/17/1999,1333.14502
6/18/1999,1339
6/21/1999,1343.345032
6/22/1999,1343.320008
6/23/1999,1329.215027
6/24/1999,1320.765015
6/25/1999,1320.88501
6/28/1999,1324.495057
6/29/1999,1339.955017
6/30/1999,1355.855042
7/1/1999,1371.800049
7/2/1999,1385.394959
7/6/1999,1396.184998
7/7/1999,1390.414978
7/8/1999,1394.969971
7/9/1999,1398.850037
7/12/1999,1400.759949
7/13/1999,1392.969971
7/14/1999,1393.28003
7/15/1999,1404.005005
7/16/1999,1412.924988
7/19/1999,1412.445008
7/20/1999,1391.400024
7/21/1999,1379.64502
7/22/1999,1366.63501
7/23/1999,1358.660034
7/26/1999,1352.404968
7/27/1999,1358.224976
7/28/1999,1363.035034
7/29/1999,1349.109985
7/30/1999,1339.705017
8/2/1999,1334.949951
8/3/1999,1325.52002
8/4/1999,1317.330017
8/5/1999,1300.469971
8/6/1999,1304.964966
8/9/1999,1301.335022
8/10/1999,1283.174988
8/11/1999,1291.680054
8/12/1999,1305.835022
8/13/1999,1312.940003
8/16/1999,1325.78003
8/17/1999,1336.460022
8/18/1999,1338.14502
8/19/1999,1324.094971
8/20/1999,1330.099976
8/23/1999,1348.424988
8/24/1999,1363.474976
8/25/1999,1371.019959
8/26/1999,1371.660034
8/27/1999,1356.489991
8/30/1999,1336.75
8/31/1999,1320.114991
9/1/1999,1325.785035
9/2/1999,1317.974976
9/3/1999,1338.424988
9/7/1999,1355.489991
9/8/1999,1346.27002
9/9/1999,1340.785034
9/10/1999,1351.909973
9/13/1999,1346.679993
9/14/1999,1337.39502
9/15/1999,1332.589966
9/16/1999,1311.239991
9/17/1999,1328.034973
9/20/1999,1334.494995
9/21/1999,1318.75
9/22/1999,1306.995057
9/23/1999,1296.275025
9/24/1999,1272.505005
9/27/1999,1286.195007
9/28/1999,1270.90503
9/29/1999,1278.494995
9/30/1999,1279.840027
10/1/1999,1274.475037
10/4/1999,1293.705018
10/5/1999,1301.424988
10/6/1999,1313.404969
10/7/1999,1321.090027
10/8/1999,1324.244995
10/11/1999,1336.094971
10/12/1999,1323.505005
10/13/1999,1297.920044
10/14/1999,1278.625
10/15/1999,1264.40503
10/18/1999,1243.914978
10/19/1999,1266.724976
10/20/1999,1275.379944
10/21/1999,1277.52002
10/22/1999,1296.210022
10/25/1999,1293.875
10/26/1999,1292.659973
10/27/1999,1289.934998
10/28/1999,1319.589966
10/29/1999,1357.804993
11/1/1999,1360.675049
11/2/1999,1357.86499
11/3/1999,1354.034973
11/4/1999,1362.170044
11/5/1999,1375.059998
11/8/1999,1373.325012
11/9/1999,1372.630005
11/10/1999,1369.580017
11/11/1999,1377.154968
11/12/1999,1382.330017
11/15/1999,1395.429993
11/16/1999,1407.375
11/17/1999,1417.064941
11/18/1999,1418.01001
11/19/1999,1421.23999
11/22/1999,1418.700012
11/23/1999,1413.054993
11/24/1999,1409.440003
11/26/1999,1420.690003
11/29/1999,1410.38501
11/30/1999,1398.769959
12/1/1999,1393.75
12/2/1999,1403.380005
12/3/1999,1428.230042
12/6/1999,1426.200012
12/7/1999,1417.990052
12/8/1999,1409.77002
12/9/1999,1404.950013
12/10/1999,1413.61499
12/13/1999,1415.839966
12/14/1999,1409.945008
12/15/1999,1406.799988
12/16/1999,1415.729981
12/17/1999,1425.275025
12/20/1999,1420.130005
12/21/1999,1425.63501
12/22/1999,1434.575013
12/23/1999,1448.784973
12/27/1999,1457.009949
12/28/1999,1457.730042
12/29/1999,1462.565003
12/30/1999,1467.849976
12/31/1999,1465.304993
1/3/2000,1458.179993
1/4/2000,1426.325013
1/5/2000,1395.475037
1/6/2000,1402
1/7/2000,1421.099976
1/10/2000,1452.914978
1/11/2000,1446.540039
1/12/2000,1434.839966
1/13/2000,1443.224976
1/14/2000,1461.340027
1/18/2000,1458.225037
1/19/2000,1455.035035
1/20/2000,1452.125
1/21/2000,1446.390015
1/24/2000,1424.755005
1/25/2000,1401.375
1/26/2000,1406.445007
1/27/2000,1394.924988
1/28/2000,1377.380005
1/31/2000,1372.309998
2/1/2000,1398.640015
2/2/2000,1412.049988
2/3/2000,1412.150025
2/4/2000,1428.27002
2/7/2000,1420.23999
2/8/2000,1433.034973
2/9/2000,1428.100037
2/10/2000,1414.265015
2/11/2000,1397.859986
2/14/2000,1387.730042
2/15/2000,1391.984986
2/16/2000,1395.065003
2/17/2000,1389.974976
2/18/2000,1366.954956
2/22/2000,1344.994995
2/23/2000,1356.274963
2/24/2000,1347.340027
2/25/2000,1345.64502
2/28/2000,1342.944946
2/29/2000,1358.840027
3/1/2000,1374.940003
3/2/2000,1378.455018
3/3/2000,1396.320008
3/6/2000,1397.244995
3/7/2000,1374.599976
3/8/2000,1360.205017
3/9/2000,1379.849976
3/10/2000,1402.764954
3/13/2000,1381.614991
3/14/2000,1377.150024
3/15/2000,1377.48999
3/16/2000,1425.309998
3/17/2000,1465.324951
3/20/2000,1459.39502
3/21/2000,1469.990052
3/22/2000,1496.204956
3/23/2000,1512.445008
3/24/2000,1534.849976
3/27/2000,1526.544983
3/28/2000,1517.224976
3/29/2000,1509.449951
3/30/2000,1496.005005
3/31/2000,1502.095032
