TimeStamp,A,B,C,D,E,F
19980519,10.7864,9.3651,13.0073,30.7992,21.7903,29.1816
19980520,10.7108,9.57996,13.3682,30.6525,22.0923,29.6844
19980521,10.6645,9.52553,13.4929,30.5463,22.4183,29.2934
19980522,10.7254,9.34791,13.3682,30.6802,22.3177,29.3352
19980526,10.5134,9.52553,13.0308,29.6432,21.6615,28.6821
19980527,10.2525,9.61434,12.9667,28.9526,21.9393,29.0524
19980528,10.3135,9.65158,13.1995,28.9653,22.2935,29.3562
19980529,10.116,9.70602,13.1354,28.874,22.1928,29.3352
19980601,9.84302,9.7232,13.1759,28.5021,22.6679,29.8171
19980602,10.2696,9.68596,13.24,29.1523,22.9215,29.9045
19980603,10.1916,9.57996,13.0511,28.8591,22.5673,30.0128
19980604,10.4817,9.74039,13.1557,29.1778,22.9698,30.1874
19980605,10.6962,9.92088,13.3884,29.7898,23.2717,30.7112
19980608,11.0764,9.90082,12.4406,30.5208,23.3724,30.7322
19980609,11.152,9.92088,12.1437,30.1213,23.4005,30.7985
19980610,10.9546,9.88363,12.1875,30.1872,23.8272,30.3166
19980611,10.4963,9.92088,11.9751,29.8026,23.6742,29.5762
19980612,10.3452,9.84926,11.8266,29.4711,23.7266,29.7718
19980615,10.3135,9.86644,11.5736,29.0058,22.8208,29.6844
19980616,10.6499,10.0269,11.5972,28.687,22.998,30.5156
19980617,10.9838,10.0985,12.0594,29.486,23.5332,31.1267
19980618,10.8936,9.9925,12.0189,29.5115,23.4042,31.3642
19980619,11.0618,9.93807,11.7422,29.8302,23.3034,30.8194
19980622,10.8936,10.0269,11.9345,29.537,23.1542,30.3829
19980623,11.1666,10.0813,12.1234,30.0427,23.8355,30.8404
19980624,11.1228,10.2962,12.3562,30.8672,24.3112,31.7589
19980625,10.9546,10.2962,12.3967,30.8672,23.9847,31.5388
19980626,10.8181,10.1357,12.3764,31.1052,24.2104,31.5843
19980629,10.879,10.1157,12.5856,32.0062,25.0931,32.1954
19980630,10.8936,10.3506,12.6092,32.0869,24.4885,31.8008
19980701,10.9399,10.8043,13.0073,32.1894,24.3877,32.2828
19980702,10.9229,10.6475,12.9027,32.1894,24.3877,32.3491
19980706,10.9838,10.5094,13.0073,32.8556,24.6659,32.8275
19980707,10.8619,10.3149,13.0308,31.8692,24.6659,32.0871
19980708,10.8473,10.5502,13.1354,31.6001,25.2947,32.0871
19980709,11.2593,10.0985,13.0308,31.5489,25.4721,31.5843
19980710,11.6395,9.96043,13.0916,31.7624,25.8752,32.2617
19980713,11.8224,9.6875,12.9027,31.788,25.851,31.9125
19980714,11.8979,9.86318,13.304,32.2407,26.7298,32.5866
19980715,12.1124,9.94161,13.1557,32.0827,26.5806,31.9335
19980716,11.8077,9.74397,13.2602,32.0015,27.665,32.2828
19980717,12.812,9.64672,13.1354,31.9759,27.8141,31.6262
19980720,12.7511,9.6875,13.0713,32.0272,27.79,31.4096
19980721,12.3416,9.53064,12.7542,30.8528,27.4111,30.8858
19980722,12.7072,9.37379,12.8622,31.1731,27.0321,30.5899
19980723,12.5244,9.11654,12.6496,31.2799,25.6212,30.2851
19980724,12.3416,8.88126,12.4607,31.5489,25.6212,30.5899
19980727,12.3099,8.5895,12.6699,31.7069,25.6979,31.3363
19980728,12.4927,8.66793,12.3562,31.3354,25.5971,31.2276
19980729,12.0807,8.66793,12.3326,31.0151,24.6417,30.8772
19980730,12.2343,8.62715,12.4406,31.8948,25.6495,29.2761
19980731,11.9905,8.5895,12.1437,32.3731,25.4479,27.8326
19980803,12.5244,8.62715,11.9952,31.9204,24.8432,26.6064
19980804,11.9296,8.1754,11.4893,29.7853,23.6823,27.2405
19980805,12.188,8.35422,11.4668,30.4514,24.412,28.4457
19980806,12.5073,8.235,11.5109,30.5069,25.7502,27.6574
19980807,12.7072,8.1754,11.5754,29.465,25.3955,27.5699
19980810,13.0412,7.92129,11.4059,29.307,25.3955,27.9202
19980811,12.7365,7.92129,11.2125,28.0259,25.7744,27.6995
19980812,12.7365,8.25383,11.3821,28.265,26.5564,28.0078
19980813,12.7218,8.09697,11.4261,27.6501,26.0244,27.4612
19980814,12.7072,8.15658,11.0429,27.5177,25.1456,27.5488
19980817,13.0412,8.13775,11.2125,28.3462,25.3189,28.0954
19980818,14.1527,8.09812,11.6365,29.5205,25.8993,28.4002
19980819,13.9869,7.97805,11.4906,29.038,25.7502,28.0744
19980820,14.0479,7.91802,11.2125,27.9448,26.0244,27.5033
19980821,14.1527,8.17711,10.8529,27.142,26.2541,27.6574
19980824,13.7261,8.19607,10.9174,27.3854,27.1087,28.2705
19980825,13.6042,8.29402,10.7479,27.3854,27.5884,29.0134
19980826,13.6822,8.05704,10.7682,27.4366,27.8665,29.0379
19980827,13.4068,7.80111,10.4494,25.0367,27.1852,28.3371
19980828,12.4927,7.9591,10.2594,24.0204,26.3549,28.6419
19980831,11.0618,7.42512,9.83553,22.4745,23.5815,26.9988
19980901,12.0052,7.82007,10.4291,23.2987,24.7909,27.9867
19980902,12.2489,7.5831,10.5139,23.461,24.162,27.5699
19980903,11.9442,7.30821,10.3646,20.9799,24.2104,26.9357
19980904,11.915,7.10916,10.1543,19.3231,23.5332,26.4102
19980908,13.1777,7.5831,11.087,20.0704,25.1698,27.8536
19980909,12.5536,7.74108,10.7886,19.0839,24.5893,25.2049
19980910,12.6463,7.16919,10.4087,18.311,23.5332,24.2204
